Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Kalaignar Nagar Depot,J1682,TN01AN3278,Tata,BS-4,MTC,No,Deluxe,31-10-2019,Active
Kalaignar Nagar Depot,J1687,TN01AN3288,Tata,BS-4,MTC,No,Deluxe,31-10-2019,Active
Kalaignar Nagar Depot,J1695,TN01AN3376,Tata,BS-4,MTC,No,Deluxe,09-12-2019,Active
Kalaignar Nagar Depot,J1704,TN01AN3340,Tata,BS-4,MTC,No,Deluxe,09-12-2019,Active
Kalaignar Nagar Depot,J1621,TN01AN3111,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1711,TN01AN3387,Tata,BS-4,MTC,No,Deluxe,01-01-2020,Active
Kalaignar Nagar Depot,J1706,TN01AN3281,Tata,BS-4,MTC,No,Deluxe,01-12-2019,Active
Poonamallee Depot,J0548,TN01AN1302,Tata,BS-4,MTC,No,Deluxe,05-02-2016,Active
Poonamallee Depot,J0564,TN01AN1431,Tata,BS-4,MTC,No,Deluxe,31-03-2016,Active
Poonamallee Depot,J0545,TN01AN1283,Tata,BS-4,MTC,No,Deluxe,05-02-2016,Active
Poonamallee Depot,J0574,TN01AN1458,Tata,BS-4,MTC,No,Deluxe,31-03-2016,Active
Alandur Depot,J0732,TN01AN1626,Tata,BS-4,MTC,No,Ordinary,07-09-2016,Active
Thiyagaraya Nagar Depot,K0773,TN01AN5194,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0776,TN01AN5199,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0777,TN01AN5137,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0779,TN01AN5148,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0774,TN01AN5202,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0780,TN01AN5133,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0775,TN01AN5195,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0778,TN01AN5222,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Basinbridge Depot,J0907,TN01AN1710,Ashok Leyland,BS-4,MTC,No,Ordinary,20-09-2016,Active
Basinbridge Depot,K0257,TN01AN4361,Ashok Leyland,BS-6,MTC,No,Ordinary,29-03-2012,Active
Thiyagaraya Nagar Depot,K0769,TN01AN5134,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0771,TN01AN5140,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0772,TN01AN5207,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0766,TN01AN5206,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0770,TN01AN5218,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0768,TN01AN5179,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0767,TN01AN5208,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Kilambakkam Depot,K0540,TN01AN4893,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Tambaram Depot,J1467,TN01AN2667,Ashok Leyland,BS-4,MTC,No,Deluxe,27-06-2019,Active
Poonamallee Depot,J0565,TN01AN1453,Tata,BS-4,MTC,No,Deluxe,31-03-2016,Active
Kilambakkam Depot,K0475,TN01AN4464,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Kalaignar Nagar Depot,J1636,TN01AN3101,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1635,TN01AN3099,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1634,TN01AN3119,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1633,TN01AN3060,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1632,TN01AN3065,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1631,TN01AN3067,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1618,TN01AN3089,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1617,TN01AN3106,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Kalaignar Nagar Depot,J1616,TN01AN3084,Tata,BS-4,MTC,No,Deluxe,24-09-2019,Active
Iyyappanthangal Depot,J1781,TN01AN3538,Ashok Leyland,BS-4,MTC,No,Deluxe,06-02-2020,Active
Chromepet-2 Depot,J1344,TN01AN2662,Ashok Leyland,BS-4,MTC,No,Deluxe,25-06-2019,Active
Chromepet-2 Depot,J1107,TN01AN2259,Ashok Leyland,BS-4,MTC,No,Deluxe,08-05-2019,Active
Poonamallee Depot,K0755,TN01AN5055,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0763,TN01AN5128,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0754,TN01AN5107,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0758,TN01AN5103,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0764,TN01AN5081,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0761,TN01AN5054,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0759,TN01AN5059,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0760,TN01AN5068,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0753,TN01AN5036,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0751,TN01AN5058,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0756,TN01AN5098,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0750,TN01AN5049,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0747,TN01AN5072,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0757,TN01AN5125,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0765,TN01AN5158,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Thiyagaraya Nagar Depot,K0762,TN01AN5082,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Tambaram Depot,J0220,TN01AN0552,Ashok Leyland,BS-4,MTC,No,Ordinary,21-11-2012,Active
Tambaram Depot,J0046,TN01N9858,Ashok Leyland,BS-4,MTC,No,Ordinary,21-11-2011,Active
Tondiarpet-2 Depot,J1243,TN01AN2273,Ashok Leyland,BS-4,MTC,No,Ordinary,06-05-2019,Active
